
== sample-plan.pdf @ 1/4" (2448x1584 img px, 36 mask px/ft) ==
    41.6 SF     39.7 LF  (bbox 30.9 LF, x1.28)  verts= 24  (1296,513)pt
    41.6 SF     39.7 LF  (bbox 30.9 LF, x1.28)  verts= 24 sealed@1  (1296,567)pt
    38.8 SF     63.9 LF  (bbox 31.6 LF, x2.02)  verts= 59  (2187,837)pt  <<< PERIM EXCESS
    38.8 SF     32.9 LF  (bbox 28.9 LF, x1.14)  verts= 17 sealed@1  (2160,1215)pt
    37.5 SF     63.4 LF  (bbox 63.4 LF, x1.00)  verts=  4  (243,1917)pt
    37.5 SF     63.4 LF  (bbox 63.4 LF, x1.00)  verts=  4  (243,1998)pt
    37.5 SF     63.4 LF  (bbox 63.4 LF, x1.00)  verts=  4  (243,2052)pt
    37.5 SF     63.4 LF  (bbox 63.4 LF, x1.00)  verts=  4  (243,1971)pt
    37.5 SF     63.4 LF  (bbox 63.4 LF, x1.00)  verts=  4  (243,2025)pt
    37.5 SF     63.4 LF  (bbox 63.4 LF, x1.00)  verts=  4  (243,1944)pt
    37.4 SF     60.4 LF  (bbox 32.5 LF, x1.86)  verts= 38  (2160,459)pt  <<< PERIM EXCESS
    37.3 SF     29.9 LF  (bbox 27.3 LF, x1.09)  verts= 15  (1350,621)pt
    36.2 SF     31.2 LF  (bbox 29.3 LF, x1.06)  verts= 10  (1080,486)pt
    36.2 SF     31.2 LF  (bbox 29.3 LF, x1.06)  verts= 10 sealed@2  (1134,486)pt
    35.3 SF     27.8 LF  (bbox 25.8 LF, x1.08)  verts=  7  (270,810)pt
    33.0 SF     36.7 LF  (bbox 36.7 LF, x1.00)  verts=  4  (243,891)pt
    29.9 SF     24.3 LF  (bbox 23.7 LF, x1.02)  verts=  8  (324,162)pt
    29.8 SF    104.1 LF  (bbox 104.4 LF, x1.00)  verts=  6  (567,432)pt
    28.5 SF     28.1 LF  (bbox 24.6 LF, x1.14)  verts= 19  (1377,702)pt
    27.4 SF     25.9 LF  (bbox 22.2 LF, x1.17)  verts= 15  (1485,675)pt
    27.4 SF     82.9 LF  (bbox 82.9 LF, x1.00)  verts=  4  (567,1053)pt
    27.1 SF     22.7 LF  (bbox 22.4 LF, x1.01)  verts=  8  (2187,1350)pt
    27.1 SF     22.7 LF  (bbox 22.4 LF, x1.01)  verts=  8  (2187,1377)pt
    27.1 SF     22.7 LF  (bbox 22.4 LF, x1.01)  verts=  8  (2214,1377)pt
    27.1 SF     22.7 LF  (bbox 22.4 LF, x1.01)  verts=  8  (2241,1377)pt
    26.4 SF     49.6 LF  (bbox 49.7 LF, x1.00)  verts=  6  (2268,1188)pt
    26.4 SF     49.6 LF  (bbox 49.7 LF, x1.00)  verts=  6  (2268,1215)pt
    26.4 SF     49.6 LF  (bbox 49.7 LF, x1.00)  verts=  6  (2268,1242)pt
    26.4 SF     49.6 LF  (bbox 49.7 LF, x1.00)  verts=  6  (2268,1269)pt
    26.4 SF     49.6 LF  (bbox 49.7 LF, x1.00)  verts=  6  (2268,1296)pt
    26.4 SF     49.6 LF  (bbox 49.7 LF, x1.00)  verts=  6  (2268,1323)pt
    26.4 SF     49.6 LF  (bbox 49.7 LF, x1.00)  verts=  6  (2268,1350)pt
    26.4 SF     49.6 LF  (bbox 49.7 LF, x1.00)  verts=  6  (2268,1377)pt
